promptID,premise,splits,heuristic_value,heuristic_friendlyname,heuristic_example_text,heuristic_payment_text,heuristic_checkbox_text,entailment_payment,neutral_payment,contradiction_payment,FAQ_direct_link
70059,"The idea, Leger claimed, was to prove that machines and fragments of them, that ordinary manufactured objects, have plastic possibilities.",train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
26271,"DeParle also notes that her husband, Donald, recently found a job, as a hotel maintenance man.",train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
46041,"Responding to Bauer's assertion that he had never violated his wedding vows, another reporter cracked, President Clinton said that too.",train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
26948,"Since The Bell Curve was published, it has become clear that almost everything about it was inexcusably  suspect data, mistakes in statistical procedures that would have flunked a sophomore (Murray--Herrnstein is deceased--clearly does not understand what a correlation coefficient means), deliberate suppression of contrary evidence, you name it.",dev,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
90057,But Will He Bring Back the Football Team?,train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
136908,"I find it interesting that Alfred Gingold, in Onward, Christian Clothiers, doesn't have a problem with pro-abortion T-shirts or vulgar T-shirts (shit happens, coed nude basketball, bitch on wheels, etc.) but finds it necessary to tee off on evangelical Christian apparel.",train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
28714,Maybe even Al Gore will soon exalt with a broad smile the vibrant U.S. ecology.,train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
2213,"For most quiz participants, the precarious venture that needed saving was either a failing TV show or a foundering political campaign.",train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
19535,Encryption is OK because its authority is created in my very own machine.,train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
126572,It would be more true to say that Gopnik's need to see Picasso as a rascal deforms his view of Picasso's art.,train,external_knowledge,"write something that relies on something that is not explicitly stated, but is part of common knowledge","For example, the text may (i) focus on a fact that can be inferred from the text but isn't explicitly stated, (ii) play with the chronology of events, (iii) use wordplay like homonyms, or (iv) rely on common knowledge, such as the fact that a potato sack can hold things that aren't potatoes or that an elephant is an especially large animal. We are particularly hoping that you will come up with examples unlike what you've written in past rounds or seen in validations.",Each statement you provide that conforms to this restriction will add on a $0.10 bonus. Just mark the checkbox next to the sentence(s) where you have done this.,relies on common knowledge not mentioned in the text,$0.10 ,$0.10 ,$0.10 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
